,AverageTemperature,rolling_mean,rolling_std
1984-04-01,18.279000000000003,20.42141666666667,4.3147816853722905
1984-05-01,22.519,20.501166666666666,4.346507016263076
1984-06-01,23.593000000000004,20.468666666666667,4.319479668439303
1984-07-01,25.399,20.421166666666668,4.256165534915901
1984-08-01,25.641,20.381666666666668,4.200352741320073
1984-09-01,25.621,20.425833333333333,4.256780469991008
1984-10-01,23.836,20.587,4.353268907593245
1984-11-01,19.338,20.52275,4.366634154690428
1984-12-01,15.511,20.505333333333336,4.38789681102944
1985-01-01,15.845,20.619083333333332,4.232437712763668
1985-02-01,14.211,20.53708333333333,4.3548403886487
1985-03-01,16.51,20.52525,4.366534201379634
1985-04-01,19.247000000000003,20.60591666666667,4.330053840906764
1985-05-01,22.533,20.607083333333335,4.330618000372628
1985-06-01,24.902,20.716166666666666,4.428057194205086
1985-07-01,25.638,20.736083333333333,4.4515099676878345
1985-08-01,26.966,20.846500000000002,4.598247719611135
1985-09-01,25.267,20.817,4.565853798479625
1985-10-01,21.799,20.647250000000003,4.480476965782661
1985-11-01,20.687,20.759666666666668,4.461524471081663
1985-12-01,16.519000000000002,20.843666666666667,4.3621021482210915
1986-01-01,15.056,20.777916666666666,4.4493699954106445
1986-02-01,15.762,20.90716666666667,4.259752293979137
1986-03-01,16.933,20.94241666666667,4.221636917731252
1986-04-01,19.607000000000006,20.972416666666668,4.209755995052291
1986-05-01,20.114,20.770833333333332,4.1860844111137565
1986-06-01,24.862,20.767500000000002,4.18251015322355
1986-07-01,25.984,20.796333333333333,4.22016187395983
1986-08-01,26.79,20.781666666666666,4.197013014326277
1986-09-01,26.374,20.873916666666666,4.315068280473835
1986-10-01,22.597,20.940416666666668,4.336715629018071
1986-11-01,18.302,20.741666666666667,4.4035226670005665
1986-12-01,14.699000000000002,20.59,4.589593010278787
1987-01-01,14.496,20.543333333333333,4.653381474961519
1987-02-01,15.593,20.52925,4.6693957390846315
1987-03-01,14.312,20.310833333333335,4.908105871150717
1987-04-01,17.312,20.119583333333335,4.982179487630848
1987-05-01,20.907,20.185666666666666,4.987355162323153
1987-06-01,23.668000000000003,20.086166666666667,4.896664687377108
1987-07-01,26.279,20.11075,4.929595873626216
1987-08-01,26.959,20.124833333333335,4.950609123832096
1987-09-01,25.616,20.061666666666667,4.867767685749201
1987-10-01,22.298,20.03675,4.854357051800323
1987-11-01,19.01,20.09575,4.83562247802699
1987-12-01,16.123,20.21441666666667,4.706905400257115
1988-01-01,14.455,20.211,4.711446351946781
1988-02-01,14.411,20.1125,4.8276913643159505
1988-03-01,15.873,20.242583333333332,4.67582897770949
1988-04-01,18.979000000000006,20.381500000000003,4.605075194332277
1988-05-01,22.697,20.530666666666665,4.652392098955563
1988-06-01,25.395,20.674583333333334,4.783139031266408
1988-07-01,27.397,20.76775,4.91139536042086
1988-08-01,27.414,20.805666666666667,4.965001681466947
1988-09-01,26.091,20.845250000000004,5.008540871260893
1988-10-01,22.1,20.828750000000003,5.003643638299077
1988-11-01,17.534000000000002,20.70575,5.070116766182726
1988-12-01,15.251,20.633083333333335,5.147428827859468
1989-01-01,12.613,20.479583333333334,5.371021021240372
1989-02-01,13.68,20.41866666666667,5.449675842458769
1989-03-01,16.229,20.448333333333334,5.423587328987283
1989-04-01,20.623,20.585333333333335,5.403825536066309
1989-05-01,22.246,20.54775,5.389352822084391
1989-06-01,24.09,20.439,5.29499030817208
1989-07-01,25.898000000000003,20.314083333333333,5.131062382610674
1989-08-01,26.69,20.25375,5.043498319168397
1989-09-01,25.685,20.219916666666666,5.001971256111894
1989-10-01,22.35,20.240750000000002,5.0110261537569585
1989-11-01,19.414,20.39741666666667,4.947696442116597
1989-12-01,15.992,20.459166666666665,4.881812588733313
1990-01-01,14.204,20.59175,4.66619247401405
1990-02-01,14.382,20.65025,4.575175249996629
